Name;URL;Author;Price;Number of Ratings;Average Rating
Beehive  for Class - 9 - 959;https://www.amazon.in/Beehive-for-Class-9-959/dp/8174505024?_encoding=UTF8&psc=1;Not available;Not available;2;2.5 out of 5 stars
Turtles All the Way Down;https://www.amazon.in/Turtles-All-Down-John-Green/dp/0241335434?_encoding=UTF8&psc=1;John Green;₹374.00;144;4.3 out of 5 stars
Objective NCERT at Your Fingertips for NEET-AIIMS - Chemistry;https://www.amazon.in/Objective-NCERT-Your-Fingertips-NEET-AIIMS/dp/9386561921?_encoding=UTF8&psc=1;MTG Editorial Board;₹423.00;83;4.4 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Chemistry;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Chemistry/dp/9311128759?_encoding=UTF8&psc=1;Ranjeet Shahi;₹223.00;75;3.9 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Physics;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Physics/dp/9311128740?_encoding=UTF8&psc=1;DC Pandey;₹223.00;79;4.2 out of 5 stars
To Kill a Mockingbird;https://www.amazon.in/Kill-Mockingbird-Harper-Lee/dp/0099549484?_encoding=UTF8&psc=1;Harper Lee;₹222.00;1,050;4.3 out of 5 stars
Don't Lose Your Mind, Lose Your Weight;https://www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053?_encoding=UTF8&psc=1;Rujuta Diwekar;₹163.00;824;4.5 out of 5 stars
How to Prepare for Quantitative Aptitude for the CAT;https://www.amazon.in/How-Prepare-Quantitative-Aptitude-CAT/dp/9352602242?_encoding=UTF8&psc=1;Arun Sharma;₹544.00;232;4.2 out of 5 stars
Harry Potter and the Philosopher's Stone;https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658?_encoding=UTF8&psc=1;J.K. Rowling;₹277.00;774;4.7 out of 5 stars
Man's Search for Meaning;https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244?_encoding=UTF8&psc=1;Viktor E Frankl;₹225.00;463;4.2 out of 5 stars
Guide for Hotel Management 2018;https://www.amazon.in/Guide-Hotel-Management-Arihant-Experts/dp/9311127043?_encoding=UTF8&psc=1;Arihant Experts;₹387.00;22;4.6 out of 5 stars
Bank Financial Management;https://www.amazon.in/Bank-Financial-Management-IIBF/dp/9387000656?_encoding=UTF8&psc=1;IIBF;₹459.00;18;4.5 out of 5 stars
Moments : Supplementary Reader in English for Class - 9  - 960;https://www.amazon.in/Moments-Supplementary-Reader-English-Class/dp/8174505032?_encoding=UTF8&psc=1;NCERT;Not available;4;4.3 out of 5 stars
Three Thousand Stitches: Ordinary People, Extraordinary Lives;https://www.amazon.in/Three-Thousand-Stitches-Ordinary-Extraordinary/dp/0143440055?_encoding=UTF8&psc=1;Sudha Murty;₹141.00;160;4.4 out of 5 stars
Animal Farm;https://www.amazon.in/Animal-Farm-George-Orwell/dp/0143416316?_encoding=UTF8&psc=1;George Orwell;₹81.00;751;4.6 out of 5 stars
Combo Pack: Science for Class 10 (2019 Exam) with Free Virtual Reality Gear;https://www.amazon.in/Combo-Pack-Science-Virtual-Reality/dp/B07896K9RY?_encoding=UTF8&psc=1;Lakhmir Singh;₹1,226.00;17;3.8 out of 5 stars
Introductory Micro Economics for Class 12 (For 2019 Examination);https://www.amazon.in/Introductory-Micro-Economics-Class-Examination/dp/8193647904?_encoding=UTF8&psc=1;Sandeep Garg;₹305.00;2;3.5 out of 5 stars
Pregnancy Notes: Before, During & After;https://www.amazon.in/Pregnancy-Notes-Before-During-After/dp/9386224895?_encoding=UTF8&psc=1;Rujuta Diwekar;₹112.00;143;3.9 out of 5 stars
Oxford School Atlas: India's Most Trusted Atlas;https://www.amazon.in/Oxford-School-Atlas-Indias-Trusted/dp/019946071X?_encoding=UTF8&psc=1;Oxford University;₹272.00;117;4.5 out of 5 stars
Believe in Yourself;https://www.amazon.in/Believe-Yourself-Dr-Joseph-Murphy/dp/8183225098?_encoding=UTF8&psc=1;Dr. Joseph Murphy;₹76.00;319;4.0 out of 5 stars
Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated Cover;https://www.amazon.in/Ram-Scion-Ikshvaku-Chandra-Updated/dp/9385152149?_encoding=UTF8&psc=1;Amish Tripathi;₹219.00;4,385;4.1 out of 5 stars
Life is What You Make It;https://www.amazon.in/Life-What-Make-Preeti-Shenoy/dp/9380349300?_encoding=UTF8&psc=1;Preeti Shenoy;₹81.00;2,564;3.9 out of 5 stars
Mathematics For Class 8 by R D Sharma (2018-19 Session);https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/818992804X?_encoding=UTF8&psc=1;R.D. Sharma;₹385.00;117;4.4 out of 5 stars
Advance Bank Management;https://www.amazon.in/Advance-Bank-Management-IIBF/dp/9387000648?_encoding=UTF8&psc=1;IIBF;₹551.00;11;4.5 out of 5 stars
Super 10 Mock Tests for NEET 2018;https://www.amazon.in/Super-Mock-Tests-NEET-2018/dp/9387421147?_encoding=UTF8&psc=1;Disha Experts;₹168.00;14;4.5 out of 5 stars
Objective General English;https://www.amazon.in/Objective-General-English-S-P-Bakshi/dp/9351768449?_encoding=UTF8&psc=1;S.P. Bakshi;₹230.00;1,434;4.2 out of 5 stars
30 Years' Chapterwise Solutions CBSE AIPMT & NEET - Chemistry;https://www.amazon.in/Years-Chapterwise-Solutions-CBSE-AIPMT/dp/9311127663?_encoding=UTF8&psc=1;Arihant Experts;₹133.00;23;4.2 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Mathematics;https://www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Mathematics/dp/9311128767?_encoding=UTF8&psc=1;Amit M Agarwal;₹223.00;79;4.3 out of 5 stars
Emotion and Relationships;https://www.amazon.in/Emotion-Relationships-Sadhguru/dp/9386867508?_encoding=UTF8&psc=1;Sadhguru;₹164.00;19;4.4 out of 5 stars
History of Modern India;https://www.amazon.in/History-Modern-India-Bipan-Chandra/dp/8125036849?_encoding=UTF8&psc=1;Bipan Chandra;₹229.00;606;4.0 out of 5 stars
One Indian Girl;https://www.amazon.in/One-Indian-Girl-Chetan-Bhagat/dp/8129142147?_encoding=UTF8&psc=1;Chetan Bhagat;₹95.00;3,968;3.6 out of 5 stars
